dspKey,measureId,statTime,shows,clicks,requests,responses,wins,cid,adType,costs
hongtu-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,1871,116,31316,5107,2102,29,88,9.38871
ipinyou-pd,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,3988,57,2162094,159781,49477,5,3,21.934
chuanshanjiapd,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,9930,634,154044,32611,16737,27,1,377.34
wuli-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,292533,1087,2248141,442493,402468,5,5,1491.9212
anx-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,0,0,109025,0,0,5,5,0
youdao,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,26,2,292173,795,46,5,1,0.442
360dsp-add,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,4528,652,230514,6628,5196,29,108,67.92
zhixing-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,0,0,107254,0,0,5,5,0
ruishi-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,0,0,53239,0,0,27,3,0
jd,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,42,2,110237,1717,247,27,3,0.92979
ksosoft,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,4,0,327678,117,30,5,3,0.02003
wanzhuan-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,1,0,137108,0,0,5,3,0.00634
chuanshanjiapd,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,4264,304,352683,20234,7459,40,123,162.032
biyi-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,2948,31,1959000,84440,34379,5,3,17.87121
meishu,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,48,0,176086,138,75,5,5,0.24
ipinyou-pd,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,3396,49,1959017,147689,42894,5,3,18.678
jiatou-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,57532,304,2026544,284023,80054,5,5,131.393
360dsp,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,6533,894,230514,9362,8110,29,108,97.995
ruishi-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,6137,306,1049079,47726,11352,5,1,368.26083
360dsp,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,245,7,13823,305,253,29,101,1.225
ksosoft,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,41166,116,358189,61249,50039,27,5,205.83
360dsp-add,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,456,16,21211,594,568,33,96,2.28
chuanshanjiapd,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,9470,635,137250,28846,15787,27,1,359.86
youdao,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,119,13,124614,901,197,27,1,2.261
plista,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,1167,16,1489522,24422,12660,5,3,8.169
lianxiang-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,7,0,788289,3786,82,5,3,0.04206
jd,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,40,0,118220,1818,235,27,3,1.00079
jd-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,18823,258,2162077,479230,213581,5,3,98.67958
fenglanhulian-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,25682,71,338392,40644,31185,27,5,128.41
meishu,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,116,7,137250,23237,210,27,1,2.204
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,152,7,110237,9182,931,27,3,1.3729
fancy-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,2733,169,137250,28722,4422,27,1,104.2525
360dsp-add,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,3264,288,62166,4387,4010,36,116,16.32
youtou-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,0,0,135098,0,0,5,3,0
360dsp,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,6643,812,205877,9552,7824,36,112,99.645
fenglanhulian-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,7787,53,2162094,661553,205919,5,3,38.935
lianxiang-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,9,0,817453,3731,97,5,3,0.05432
360dsp-add,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,2488,100,612903,7637,2917,33,97,37.32
zhengshu-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,947,44,110237,33075,6551,27,3,5.48251
ipinyou-pd,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,857,42,330498,6713,3369,29,118,17.997
tianjinkuaiyou-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,7,1,227905,283,79,5,3,0.06286
fenghuangdsp-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,166,1,427372,6168,1783,5,3,0.83
